_source_file,_row_index,_leaf_label,_leaf_id,_group_path,_text,_semantic_text,_dtype,_concept_label,_concept_score,_concept_source,_code_family,_facet_cond,_facet_task,_facet_variant,_facet_stat,_facet_outcome
HCP_S1200_DataDictionary_Oct_30_2023.csv,378,FS_R_Middletemporal_Thck,FreeSurfer > Surface Thickness.FS_R_Middletemporal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Middletemporal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Middle_temporal_gyrus\"">Middle Temporal Gyrus</a> | fullDisplayName: Right middletemporal Average Thickness","Neurolex definition: <a href=\""  Temporal Gyrus</a> Right middletemporal Average Thickness",determine,Gyrus Right Precentral,0.19,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,379,FS_R_Parahippocampal_Thck,FreeSurfer > Surface Thickness.FS_R_Parahippocampal_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Parahippocampal_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Parahippocampal_gyrus\"">Parahippocampal Gyrus</a> | fullDisplayName: Right parahippocampal Average Thickness","Neurolex definition: <a href=\""  Gyrus</a> Right parahippocampal Average Thickness",determine,Gyrus Right Parahippocampal,0.258,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,380,FS_R_Paracentral_Thck,FreeSurfer > Surface Thickness.FS_R_Paracentral_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Paracentral_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Paracentral_sulcus\"">Paracentral Sulcus</a> | fullDisplayName: Right paracentral Average Thickness","Neurolex definition: <a href=\""  Sulcus</a> Right paracentral Average Thickness",determine,Sulcus Right Paracentral,0.166,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,381,FS_R_Parsopercularis_Thck,FreeSurfer > Surface Thickness.FS_R_Parsopercularis_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Parsopercularis_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Opercular_part_of_inferior_frontal_gyrus\"">Opercular Part of Inferior Frontal Gyrus</a> | fullDisplayName: Right parsopercularis Average Thickness","Neurolex definition: <a href=\""  Part of Inferior Frontal Gyrus</a> Right parsopercularis Average Thickness",determine,Inferior Frontal Gyrus,0.201,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,382,FS_R_Parsorbitalis_Thck,FreeSurfer > Surface Thickness.FS_R_Parsorbitalis_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Parsorbitalis_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Orbital_part_of_inferior_frontal_gyrus\"">Orbital Part of Inferior Frontal Gyrus</a> | fullDisplayName: Right parsorbitalis Average Thickness","Neurolex definition: <a href=\""  Part of Inferior Frontal Gyrus</a> Right parsorbitalis Average Thickness",determine,Inferior Frontal Gyrus,0.201,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,383,FS_R_Parstriangularis_Thck,FreeSurfer > Surface Thickness.FS_R_Parstriangularis_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Parstriangularis_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Triangular_part_of_inferior_frontal_gyrus\"">Triangular Part of Inferior Frontal Gyrus</a> | fullDisplayName: Right parstriangularis Average Thickness","Neurolex definition: <a href=\""  Part of Inferior Frontal Gyrus</a> Right parstriangularis Average Thickness",determine,Inferior Frontal Gyrus,0.201,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,384,FS_R_Pericalcarine_Thck,FreeSurfer > Surface Thickness.FS_R_Pericalcarine_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Pericalcarine_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Pericalcarine_cortex\"">Pericalcarine Cortex</a> | fullDisplayName: Right pericalcarine Average Thickness","Neurolex definition: <a href=\""  Cortex</a> Right pericalcarine Average Thickness",determine,Cortex Right Pericalcarine,0.241,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,385,FS_R_Postcentral_Thck,FreeSurfer > Surface Thickness.FS_R_Postcentral_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Postcentral_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Postcentral_gyrus\"">Postcentral Gyrus</a> | fullDisplayName: Right postcentral Average Thickness","Neurolex definition: <a href=\""  Gyrus</a> Right postcentral Average Thickness",determine,Gyrus Right Precentral,0.19,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,386,FS_R_Posteriorcingulate_Thck,FreeSurfer > Surface Thickness.FS_R_Posteriorcingulate_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Posteriorcingulate_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Posterior_cingulate_gyrus\"">Posterior Cingulate Gyrus</a> | fullDisplayName: Right posteriorcingulate Average Thickness","Neurolex definition: <a href=\""  Cingulate Gyrus</a> Right posteriorcingulate Average Thickness",determine,Gyrus Right Posteriorcingulate,0.219,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,387,FS_R_Precentral_Thck,FreeSurfer > Surface Thickness.FS_R_Precentral_Thck,FreeSurfer > Surface Thickness,"category: FreeSurfer | assessment: Surface Thickness | columnHeader: FS_R_Precentral_Thck | description: Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precentral_gyrus\"">Precentral Gyrus</a> | fullDisplayName: Right precentral Average Thickness","Neurolex definition: <a href=\""  Gyrus</a> Right precentral Average Thickness",determine,Gyrus Right Precentral,0.19,keybert,,No Condition,FreeSurfer,Surface Thickness,Mean,Other
